!SESSION 2024-03-11 22:00:29.294 -----------------------------------------------
eclipse.buildId=2022.2
java.version=11.0.11
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64

!ENTRY org.eclipse.ui 4 4 2024-03-11 22:00:57.473
!MESSAGE Plug-in 'org.eclipse.ui.editors' contributed an invalid Menu Extension (Path: 'navigate' is invalid): org.eclipse.ui.edit.text.gotoLastEditPosition

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.719
!MESSAGE XSCT Command: [::hsi::utils::init_repo], Thread: Worker-0: Initializing s/w repositories

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.720
!MESSAGE XSCT Command: [plnx-install-path  ; ::scw::scw_mode gui], Thread: Thread-12

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.732
!MESSAGE XSCT Command: [set sdk::sdk_chan tcfchan#0], Thread: Thread-19

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.890
!MESSAGE XSCT command with result: [::hsi::utils::init_repo], Result: [null, ]. Thread: Worker-0: Initializing s/w repositories

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.891
!MESSAGE XSCT command with result: [plnx-install-path  ; ::scw::scw_mode gui], Result: [null, ]. Thread: Thread-12

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.891
!MESSAGE XSCT command with result: [set sdk::sdk_chan tcfchan#0], Result: [null, tcfchan#0]. Thread: Thread-19

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.892
!MESSAGE XSCT Command: [set query_var1 $::env(RDI_DATADIR)], Thread: Worker-0: Initializing s/w repositories

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.892
!MESSAGE XSCT Command: [setws C:/Users/rohan/385lab6/week2workspace], Thread: Thread-19

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.893
!MESSAGE XSCT command with result: [set query_var1 $::env(RDI_DATADIR)], Result: [null, C:/Xilinx/Vitis/2022.2/data]. Thread: Worker-0: Initializing s/w repositories

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:08.895
!MESSAGE XSCT command with result: [setws C:/Users/rohan/385lab6/week2workspace], Result: [null, ]. Thread: Thread-19

!ENTRY com.xilinx.sdk.utils 1 0 2024-03-11 22:01:11.679
!MESSAGE Opening file dialog using preferences. Current path: C:\Xilinx\Vitis\2022.2\data\embeddedsw\lib\fixed_hwplatforms, Local preference: scw_hwspec, Group preference: null

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:18.690
!MESSAGE XSCT Command: [::hsi::utils::openhw C:/Users/rohan/AppData/Local/Temp/hwspec_mb_usb_hdmi_top_v57794940957273940331/mb_usb_hdmi_top_v5.xsa], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:18.929
!MESSAGE XSCT command with result: [::hsi::utils::openhw C:/Users/rohan/AppData/Local/Temp/hwspec_mb_usb_hdmi_top_v57794940957273940331/mb_usb_hdmi_top_v5.xsa], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:18.975
!MESSAGE XSCT Command: [::hsi::utils::get_design_properties -json C:/Users/rohan/AppData/Local/Temp/hwspec_mb_usb_hdmi_top_v57794940957273940331/mb_usb_hdmi_top_v5.xsa], Thread: main

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-11 22:01:18.978
!MESSAGE XSCT command with result: [::hsi::utils::get_design_properties -json C:/Users/rohan/AppData/Local/Temp/hwspec_mb_usb_hdmi_top_v57794940957273940331/mb_usb_hdmi_top_v5.xsa], Result: [null, {"device": "7s50",
"family": "spartan7",
"bit_offset": "5",
"bit_range": "",
"bit_width": "1",
"desc": "Load Timer 1      0 = No load      1 = Loads timer with value in TLR1 Setting this bit loads timer/counter register (TCR1) with a specified value in the timer/counter load register (TLR1).  This bit prevents the running of the timer/counter; hence, this should be cleared alongside setting Enable Timer/ Counter (ENT1) bit in TCSR1.
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"ENIT1": {"access": "read-write",
"bit_offset": "6",
"bit_range": "",
"bit_width": "1",
"desc": "Enable Interrupt for Timer 1
Enables the assertion of the interrupt signal for this timer. Has no effect on the interrupt flag (T1INT) in TCSR1.      0 - Disable interrupt signal      1 - Enable interrupt signal
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"ENT1": {"access": "read-write",
"bit_offset": "7",
"bit_range": "",
"bit_width": "1",
"desc": "Enable Timer 1
  0 - Disable timer (counter halts)
  1 - Enable timer (counter runs)
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"T1INT": {"access": "read-write",
"bit_offset": "8",
"bit_range": "",
"bit_width": "1",
"desc": "Timer 1 Interrupt
Indicates that the condition for an interrupt on this timer has occurred. If the timer mode is capture and the timer is enabled, this bit indicates a capture has occurred. If the mode is generate, this bit indicates the counter has rolled over. Must be cleared by writing a 1.
Read:      0 - No interrupt has occurred      1 - Interrupt has occurred  Write:      0 - No change in state of T0INT      1 - Clear T1INT (clear to 0)
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"PWMA1": {"access": "read-write",
"bit_offset": "9",
"bit_range": "",
"bit_width": "1",
"desc": "Enable Pulse Width Modulation for Timer 1      0 - Disable pulse width modulation      1 - Enable pulse width modulation  PWM requires using Timer 0 and Timer 1 together as a pair. Timer 0 sets the period of the PWM output, and Timer 1 sets the high time for the PWM output. For PWM mode, MDT0 and MDT1 must be 0.
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"ENALL": {"access": "read-write",
"bit_offset": "10",
"bit_range": "",
"bit_width": "1",
"desc": "Enable All Timers      0 - No effect on timers      1 - Enable all timers (counters run)  This bit is mirrored in all control/status registers and is used to enable all counters simultaneously. Writing a 1 to this bit sets ENALL, ENT0, and ENT1. Writing a 0 to this register clears ENALL but has no effect on ENT0 and ENT1. 
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1103101968,
},
"TLR1": {"description": "Timer 1 Load Register",
"address_offset": "0x14",
"access": "read-write",
"size": "32",
"interface": "S_AXI",
"fields": {"TCLR1": {"access": "read-write",
"bit_offset": "0",
"bit_range": "",
"bit_width": "32",
"desc": "Timer/Counter Load Register
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1103101972,
},
"TCR1": {"description": "Timer 1 Counter Register",
"address_offset": "0x18",
"access": "read-only",
"size": "32",
"interface": "S_AXI",
"fields": {"TCR1": {"access": "read-only",
"bit_offset": "0",
"bit_range": "",
"bit_width": "32",
"desc": "Timer/Counter Register
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1103101976,
},
},
}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.512
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.525
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0], Result: [null, {"gpio_usb_int_S_AXI": {"name": "gpio_usb_int",
"base": "0x40000000",
"high": "0x4000FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"axi_gpio_switches_S_AXI": {"name": "axi_gpio_switches",
"base": "0x40010000",
"high": "0x4001FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"axi_gpio_button_S_AXI": {"name": "axi_gpio_button",
"base": "0x40020000",
"high": "0x4002FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_keycode_S_AXI": {"name": "gpio_usb_keycode",
"base": "0x40030000",
"high": "0x4003FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_rst_S_AXI": {"name": "gpio_usb_rst",
"base": "0x40040000",
"high": "0x4004FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"axi_uartlite_0_S_AXI": {"name": "axi_uartlite_0",
"base": "0x40600000",
"high": "0x4060FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_axi_intc_s_axi": {"name": "microblaze_0_axi_intc",
"base": "0x41200000",
"high": "0x4120FFFF",
"size": "65536",
"slaveintf": "s_axi",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"timer_usb_axi_S_AXI": {"name": "timer_usb_axi",
"base": "0x41C00000",
"high": "0x41C0FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"spi_usb_AXI_LITE": {"name": "spi_usb",
"base": "0x44A00000",
"high": "0x44A0FFFF",
"size": "65536",
"slaveintf": "AXI_LITE",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_local_memory_dlmb_bram_if_cntlr_SLMB_Mem": {"name": "microblaze_0_local_memory_dlmb_bram_if_cntlr",
"base": "0x00000000",
"high": "0x00007FFF",
"size": "32768",
"slaveintf": "SLMB",
"type": "MEMORY",
"flags": "7",
"segment": "Mem",
"acctype": "",
"tz": "",
},
}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.528
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_ENABLED], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.532
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_ENABLED], Result: [null, 1]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.533
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.537
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Result: [null, 5]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.538
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.543
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Result: [null, 1]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.544
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_COUNTER_WIDTH], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.548
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_DEBUG_COUNTER_WIDTH], Result: [null, 32]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.550
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_FREQ], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.559
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_FREQ], Result: [null, 100000000]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.559
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_CPU_CLK_FREQ_HZ], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.564
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0 C_CPU_CLK_FREQ_HZ], Result: [null, ]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.565
!MESSAGE XSCT Command: [::hsi::utils::get_cpu_nr -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.571
!MESSAGE XSCT command with result: [::hsi::utils::get_cpu_nr -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa], Result: [null, {"microblaze_0": {"bscan": "2",
"index": "0",
},
}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.573
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.591
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Result: [null, {}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.593
!MESSAGE XSCT Command: [::hsi::utils::get_all_register_data -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.596
!MESSAGE XSCT command with result: [::hsi::utils::get_all_register_data -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Result: [null, {"microblaze_0": {},
}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.597
!MESSAGE XSCT Command: [::hsi::utils::get_connected_periphs C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.602
!MESSAGE XSCT command with result: [::hsi::utils::get_connected_periphs C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa mdm_1], Result: [null, microblaze_0]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:12.604
!MESSAGE XSCT Command: [connect -url tcp:127.0.0.1:3121], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:14.839
!MESSAGE XSCT command with result: [connect -url tcp:127.0.0.1:3121], Result: [null, tcfchan#1]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:14.839
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.152
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.152
!MESSAGE XSCT Command: [version -server], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.152
!MESSAGE XSCT command with result: [version -server], Result: [null, 2022.2]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.152
!MESSAGE XSCT Command: [version], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.184
!MESSAGE XSCT command with result: [version], Result: [null, xsct 2022.2.0
SW Build 0 on 2022-10-13-12:09:39
Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.184
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.184
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.184
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.215
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.215
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.231
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.231
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.262
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.278
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.278
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.294
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.309
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.309
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.309
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.309
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.325
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.325
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.357
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1  RealDigital Boo 887429230031A]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.357
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.372
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 887429230031A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.372
!MESSAGE XSCT Command: [jtag targets -set -filter {name =~ "RealDigital Boo 887429230031A" && level == 0}], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.388
!MESSAGE XSCT command with result: [jtag targets -set -filter {name =~ "RealDigital Boo 887429230031A" && level == 0}], Result: [null, ]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.388
!MESSAGE XSCT Command: [jtag frequency], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.388
!MESSAGE XSCT command with result: [jtag frequency], Result: [null, 15000000]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.388
!MESSAGE XSCT Command: [::hsi::utils::get_clock_info -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0], Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.403
!MESSAGE XSCT command with result: [::hsi::utils::get_clock_info -json C:/Users/rohan/385lab6/week2workspace/mb_usb_hdmi_top_v5/export/mb_usb_hdmi_top_v5/hw/mb_usb_hdmi_top_v5.xsa microblaze_0], Result: [null, {"Clk": "100000000",
"Dbg_Clk": "",
}]. Thread: Worker-1: Launching Debugger_MyBallZachErtz-GDB_1

!ENTRY com.xilinx.sdk.utils 0 0 2024-03-17 20:22:15.451
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: ModalContext

